"symbol","company","sector","subsector","asset_turnover_2017","asset_turnover_2018","asset_turnover_2019","asset_turnover_2020","asset_turnover_2021","asset_turnover_2022","asset_turnover_latest","buyback_yield_2017","buyback_yield_2018","buyback_yield_2019","buyback_yield_2020","buyback_yield_2021","buyback_yield_2022","buyback_yield_latest","capex_to_revenue_2017","capex_to_revenue_2018","capex_to_revenue_2019","capex_to_revenue_2020","capex_to_revenue_2021","capex_to_revenue_2022","capex_to_revenue_latest","cash_ratio_2017","cash_ratio_2018","cash_ratio_2019","cash_ratio_2020","cash_ratio_2021","cash_ratio_2022","cash_ratio_latest","cash_to_debt_2017","cash_to_debt_2018","cash_to_debt_2019","cash_to_debt_2020","cash_to_debt_2021","cash_to_debt_2022","cash_to_debt_latest","cogs_to_revenue_2017","cogs_to_revenue_2018","cogs_to_revenue_2019","cogs_to_revenue_2020","cogs_to_revenue_2021","cogs_to_revenue_2022","cogs_to_revenue_latest","mscore_2017","mscore_2018","mscore_2019","mscore_2020","mscore_2021","mscore_2022","mscore_latest","zscore_2017","zscore_2018","zscore_2019","zscore_2020","zscore_2021","zscore_2022","zscore_latest","current_ratio_2017","current_ratio_2018","current_ratio_2019","current_ratio_2020","current_ratio_2021","current_ratio_2022","current_ratio_latest","days_inventory_2017","days_inventory_2018","days_inventory_2019","days_inventory_2020","days_inventory_2021","days_inventory_2022","days_inventory_latest","debt_to_equity_2017","debt_to_equity_2018","debt_to_equity_2019","debt_to_equity_2020","debt_to_equity_2021","debt_to_equity_2022","debt_to_equity_latest","debt_to_assets_2017","debt_to_assets_2018","debt_to_assets_2019","debt_to_assets_2020","debt_to_assets_2021","debt_to_assets_2022","debt_to_assets_latest","debt_to_ebitda_2017","debt_to_ebitda_2018","debt_to_ebitda_2019","debt_to_ebitda_2020","debt_to_ebitda_2021","debt_to_ebitda_2022","debt_to_ebitda_latest","debt_to_revenue_2017","debt_to_revenue_2018","debt_to_revenue_2019","debt_to_revenue_2020","debt_to_revenue_2021","debt_to_revenue_2022","debt_to_revenue_latest","e10_2017","e10_2018","e10_2019","e10_2020","e10_2021","e10_2022","e10_latest","effective_interest_rate_2017","effective_interest_rate_2018","effective_interest_rate_2019","effective_interest_rate_2020","effective_interest_rate_2021","effective_interest_rate_2022","effective_interest_rate_latest","equity_to_assets_2017","equity_to_assets_2018","equity_to_assets_2019","equity_to_assets_2020","equity_to_assets_2021","equity_to_assets_2022","equity_to_assets_latest","enterprise_value_to_ebit_2017","enterprise_value_to_ebit_2018","enterprise_value_to_ebit_2019","enterprise_value_to_ebit_2020","enterprise_value_to_ebit_2021","enterprise_value_to_ebit_2022","enterprise_value_to_ebit_latest","enterprise_value_to_ebitda_2017","enterprise_value_to_ebitda_2018","enterprise_value_to_ebitda_2019","enterprise_value_to_ebitda_2020","enterprise_value_to_ebitda_2021","enterprise_value_to_ebitda_2022","enterprise_value_to_ebitda_latest","enterprise_value_to_revenue_2017","enterprise_value_to_revenue_2018","enterprise_value_to_revenue_2019","enterprise_value_to_revenue_2020","enterprise_value_to_revenue_2021","enterprise_value_to_revenue_2022","enterprise_value_to_revenue_latest","financial_distress_latest","financial_strength_latest","earning_yield_greenblatt_2017","earning_yield_greenblatt_2018","earning_yield_greenblatt_2019","earning_yield_greenblatt_2020","earning_yield_greenblatt_2021","earning_yield_greenblatt_2022","earning_yield_greenblatt_latest","free_float_percentage_latest","fscore_2017","fscore_2018","fscore_2019","fscore_2020","fscore_2021","fscore_2022","fscore_latest","goodwill_to_asset_latest","gross_profit_to_assets_2017","gross_profit_to_assets_2018","gross_profit_to_assets_2019","gross_profit_to_assets_2020","gross_profit_to_assets_2021","gross_profit_to_assets_2022","gross_profit_to_assets_latest","interest_coverage_2017","interest_coverage_2018","interest_coverage_2019","interest_coverage_2020","interest_coverage_2021","interest_coverage_2022","interest_coverage_latest","inventory_turnover_2017","inventory_turnover_2018","inventory_turnover_2019","inventory_turnover_2020","inventory_turnover_2021","inventory_turnover_2022","inventory_turnover_latest","inventory_to_revenue_2017","inventory_to_revenue_2018","inventory_to_revenue_2019","inventory_to_revenue_2020","inventory_to_revenue_2021","inventory_to_revenue_2022","inventory_to_revenue_latest","liabilities_to_assets_2017","liabilities_to_assets_2018","liabilities_to_assets_2019","liabilities_to_assets_2020","liabilities_to_assets_2021","liabilities_to_assets_2022","liabilities_to_assets_latest","longterm_debt_to_assets_2017","longterm_debt_to_assets_2018","longterm_debt_to_assets_2019","longterm_debt_to_assets_2020","longterm_debt_to_assets_2021","longterm_debt_to_assets_2022","longterm_debt_to_assets_latest","price_to_book_ratio_2017","price_to_book_ratio_2018","price_to_book_ratio_2019","price_to_book_ratio_2020","price_to_book_ratio_2021","price_to_book_ratio_2022","price_to_book_ratio_latest","price_to_earnings_ratio_2017","price_to_earnings_ratio_2018","price_to_earnings_ratio_2019","price_to_earnings_ratio_2020","price_to_earnings_ratio_2021","price_to_earnings_ratio_2022","price_to_earnings_ratio_nri_2017","price_to_earnings_ratio_nri_2018","price_to_earnings_ratio_nri_2019","price_to_earnings_ratio_nri_2020","price_to_earnings_ratio_nri_2021","price_to_earnings_ratio_nri_2022","price_to_earnings_ratio_nri_latest","price_to_earnings_ratio_latest","price_earnings_growth_ratio_2017","price_earnings_growth_ratio_2018","price_earnings_growth_ratio_2019","price_earnings_growth_ratio_2020","price_earnings_growth_ratio_2021","price_earnings_growth_ratio_2022","price_earnings_growth_ratio_latest","price_to_free_cashflow_2017","price_to_free_cashflow_2018","price_to_free_cashflow_2019","price_to_free_cashflow_2020","price_to_free_cashflow_2021","price_to_free_cashflow_2022","price_to_free_cashflow_latest","price_to_operating_cashflow_2017","price_to_operating_cashflow_2018","price_to_operating_cashflow_2019","price_to_operating_cashflow_2020","price_to_operating_cashflow_2021","price_to_operating_cashflow_2022","price_to_operating_cashflow_latest","predictability","profitability","rate_of_return_2017","rate_of_return_2018","rate_of_return_2019","rate_of_return_2020","rate_of_return_2021","rate_of_return_2022","rate_of_return_latest","scaled_net_operating_assets_2017","scaled_net_operating_assets_2018","scaled_net_operating_assets_2019","scaled_net_operating_assets_2020","scaled_net_operating_assets_2021","scaled_net_operating_assets_2022","scaled_net_operating_assets_latest","yoy_ebitda_growth_2017","yoy_ebitda_growth_2018","yoy_ebitda_growth_2019","yoy_ebitda_growth_2020","yoy_ebitda_growth_2021","yoy_ebitda_growth_2022","yoy_ebitda_growth_latest","yoy_eps_growth_2017","yoy_eps_growth_2018","yoy_eps_growth_2019","yoy_eps_growth_2020","yoy_eps_growth_2021","yoy_eps_growth_2022","yoy_eps_growth_latest","yoy_revenue_growth_2017","yoy_revenue_growth_2018","yoy_revenue_growth_2019","yoy_revenue_growth_2020","yoy_revenue_growth_2021","yoy_revenue_growth_2022","yoy_revenue_growth_latest"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","0.66","0.72","0.74","0.83",1.08,"",0.24,"4.09","6.71","6.64","3.64","3.65","",3.57,"0.05","0.05","0.04","0.03","0.03","",0.03,"0.74","0.57","0.95",0.86,0.5,"",0.37,"0.64","0.58","0.93","0.81","0.5","","0.4","0.62","0.62","0.62","0.62","0.58","",0.57,"-2.5","-2.42","-2.87","-2.97","-2.25","",-2.55,"3.62","4.22","4.24","6.33","6.99","",7.51,"1.28","1.13","1.54",1.36,1.07,"",0.86,"9.04","9.82","9.09","8.79","9.12","",10.56,"0.86","1.07","1.19","1.72","1.98","",2.06,"0.31","0.31","0.32","0.35","0.36","",0.36,"1.51","1.32","1.32","1.39","1.01","",1.13,"0.51","0.43","0.42","0.41","0.34","",0.36,"1.41","1.71","2.01","2.3","2.88","",3.44,"2.29","2.82","3.21","2.61","2.23","",2.4,"0.36","0.29","0.27",0.2,0.18,"",0.17,"12.52","14.73","14.46","28.41","21.34","",20.66,"10.86","12.89","12.25","24.53","19.38","",18.9,"3.63","4.22","3.85","7.24","6.52","",6.42,0.02,7,"7.99","6.79","6.92","3.52","4.69","",5.3,99.94,"4","6","6","7","7","","8","","25.3","27.49","27.94",31.69,45.29,"",41.79,"26.41","21.88","17.88","23.07","41.19","","32.09","40.37","37.17","40.13","41.52","40.03","",8.64,"0.02","0.02","0.02","0.02","0.02","",0.07,"0.64","0.71","0.73",0.8,0.82,"",0.83,"0.26","0.26","0.27","0.31","0.31","",0.28,"5.89","10.02","11","30.09","36.84","","41.67","16.73","18.94","18.85","35.31","25.22","","16.73","18.94","18.85","35.31","25.22","","24.82","24.82","1.25","1.49","2.19","4.98","1.86","","1.75","15.63","17.6","17.68","27.67","25.67","","23.02","12.6","14.58","15","25.16","22.94","","20.95","5",10,"19.24","17.24","13.6","9.7","16.13","",20.6,"0.55","0.41","0.27","0.26","0.39","",0.37,"9.36","19.4","1.15","5","57.96","",-1.51,"10.83","29.4","-0.34","10.44","71.04","",-7.69,"11.34","21.69","5.36",11.94,"38.5","",5.11
"ABNB","Airbnb","Consumer Discretionary","Internet & Direct Marketing Retail","","0.55","0.64","0.36",0.5,"",0.12,"","","","-4.15","","",0,"0.04","0.03","0.03","0.01","","",0,"","0.89","0.59",1.24,1.31,"",0.88,"","","7.33","2.74","3.44","","4.16","0.25","0.24","0.25","0.26","0.19","",0.19,"","","","-4.24","-2.62","",-2.24,"","","","5.49","7.43","",3.41,"","1.57","1.25",1.73,1.95,"",1.58,"","","","","","",0,"","","-0.52","0.8","0.51","",0.45,"","","0.05","0.22","0.18","",0.13,"","","-1.46","-0.53","8.77","",1.37,"","","0.09","0.69","0.4","",0.28,"","","","","","",0,"","","2.38","12.49","18.43","",1.25,"","-0.08","-0.1",0.28,0.35,"",0.28,"","","","-18.6","724.73","",44.55,"","","","-19.14","361.14","",39.82,"","","","24.84","16.62","",7.97,0.07,7,"","","","-5.38","0.14","",2.67,61.37,"","","","","7","","","","","42.16","48.37",26.62,39.97,"",37.95,"","0.72","","","1.24","","61.15","","","","","","",0,"","","","","","",0,"","1.08","1.1",0.72,0.65,"",0.73,"","","0.05","0.21","0.17","",0.12,"","","","30.31","22.09","","12.41","","","","","","","","","","","","","55.6","55.6","","","","","","","","","","","","47.38","","41.46","","","","","46.83","","40.73","",1,"","","","","","",0,"","","-0.52","-0.14","-0.11","",-0.13,"","318.57","-284.98","","102.91","",1258.18,"","76.12","","","96.46","",609.09,"","40.08","31.58",31.27,"-18.11","",41
"ADBE","Adobe Inc.","Information Technology","Application Software","0.54","0.54","0.57","0.57",0.61,"",0.17,"1.08","1.52","1.69","1.21","1.15","",4.22,"0.02","0.03","0.04","0.03","0.02","",0.03,"1.65","0.75","0.51",1.09,0.84,"",0.77,"3.09","0.78","1.01","1.27","1.24","","1.24","0.14","0.13","0.15","0.13","0.12","",0.12,"-2.49","-2.56","-2.71","-2.6","-2.6","",-2.86,"10.81","9.71","10.73","14.85","17.93","",9.31,"2.05","1.13","0.79",1.48,1.25,"",1.14,"","","","","","",0,"0.22","0.44","0.39","0.36","0.32","",0.32,"0.13","0.22","0.2","0.19","0.17","",0.17,"0.74","1.28","1.01","0.93","0.71","",0.68,"0.26","0.46","0.37","0.37","0.3","",0.26,"1.61","1.99","2.54","3.48","4.54","",5.46,"3.94","2.96","3.8","2.62","2.41","",2.41,"0.58","0.5","0.51",0.55,0.54,"",0.54,"37.5","42.75","44.4","53.1","54.5","",21.7,"32.68","38.17","36.24","45.14","47.99","",19.05,"11.36","13.65","13.36","17.71","20.09","",7.66,0.3,8,"2.67","2.34","2.25","1.88","1.83","",3.5,100,"8","7","5","8","7","","5","","46.2","47.05","48.05",49.49,54.03,"",58.59,"29.14","31.91","20.82","36.53","51.35","","53","","","","","","",0,"","","","","","",0,"0.42","0.5","0.49",0.45,0.46,"",0.46,"0.13","0.22","0.05","0.19","0.17","",0.15,"10.27","13.07","14.18","17.28","21.5","","9.24","52.32","48.25","51.59","44.18","66.85","","52.32","48.25","51.59","44.18","66.85","","28.06","28.06","2.42","1.13","1.28","1.38","2.29","","0.95","32.41","33.21","37.82","43.72","46.82","","18.95","30.42","31.01","34.44","40.52","44.56","","17.82","2",9,"21.82","21.69","21.75","21.47","21.36","",22.8,"0.36","0.71","0.56","0.58","0.56","",0.5,"39.03","28.02","29.12","24.34","31.93","",6.46,"45.69","53.85","15.38","80.5","-7.48","",-3.97,"25.51","24.45","25.21",16.86,"23.69","",15.54
"ADI","Analog Devices","Information Technology","Semiconductors","0.36","0.3","0.29","0.26",0.2,"",0.06,"0.14","0.73","1.56","0.56","3.41","",5.97,"0.04","0.04","0.05","0.03","0.05","",0.05,"0.66","0.78","0.43",0.77,0.71,"",0.62,"0.13","0.13","0.12","0.2","0.29","","0.24","0.4","0.32","0.33","0.34","0.38","",0.34,"-1.49","-2.71","-2.59","-2.49","-1.63","",-1.56,"2.64","3.11","3.46","3.8","4.31","",3.83,"1.47","2.01","1.32",1.84,1.94,"",1.92,"81.44","105.16","110.45","116.24","118.18","",97.46,"0.77","0.56","0.47","0.43","0.18","",0.17,"0.37","0.31","0.26","0.24","0.13","",0.12,"4.44","2.34","2.17","2.24","2.64","",1.06,"1.5","1.02","0.92","0.93","0.93","",0.5,"2.39","2.54","2.85","2.93","3.15","",3.52,"5.23","3.58","3.87","3.62","3.08","",3.27,"0.48","0.55","0.55",0.56,0.73,"",0.73,"34.13","19.12","25.73","31.84","63.42","",36.98,"22.86","13.48","17.46","20.69","37.09","",18.05,"7.71","5.86","7.36","8.55","13.12","",7,0.02,7,"2.93","5.23","3.89","3.14","1.58","",2.26,99.64,"4","6","5","6","7","","7","","21.77","20.44","19.19",17.22,12.26,"",16.16,"4.83","7.73","7.89","8.02","9.61","","20.15","4.48","3.47","3.3","3.14","3.09","",0.94,"0.09","0.09","0.1","0.11","0.12","",0.37,"0.52","0.45","0.45",0.44,0.27,"",0.27,"0.36","0.31","0.24","0.24","0.12","",0.12,"3.31","2.75","3.35","3.65","2.4","","1.99","39.87","20.93","29.21","36.14","50.14","","39.87","20.93","29.21","36.14","50.14","","39.2","39.2","4.44","1.09","1.21","2.03","5.08","","4.51","33.68","14.35","20.1","23.93","29.11","","19.6","27.72","12.85","17.65","21.95","25.45","","17.18","2",9,"11.95","23.2","23.7","21.52","12.75","",8.78,"2.13","0.79","0.81","0.75","2","",0.81,"25.6","43.04","-6.19","-8.1","3.6","",29.81,"-17.03","74.67","-8.75","-10.14","5.49","",6.67,"36.64","10.91","-3.22",-6.25,"21.07","",26.3
"ADP","ADP","Information Technology","Data Processing & Outsourced Services","","0.34","0.34","0.35",0.33,"0.29",0.06,"","1.68","1.31","1.57","1.63","2.25",2.06,"","0.04","0.04","0.04","0.04","0.03",0.04,"","0.07","0.06",0.06,0.07,"0.03",0.03,"","1.08","0.87","0.81","0.77","0.41","0.41","","0.61","0.59","0.6","0.59","0.59",0.6,"","-2.14","-2.34","-2.49","-2.52","-2.46",-2.46,"","2.21","2.38","2.49","2.33","1.79",1.87,"","1.05","1.05",1.05,1.07,"0.99",0.99,"","","","","","",0,"","0.42","0.42","0.41","0.59","1.08",1.08,"","0.05","0.05","0.06","0.07","0.06",0.06,"","0.73","0.64","0.63","0.85","0.79",0.91,"","0.16","0.17","0.17","0.23","0.22",0.22,"","3.33","3.6","3.91","4.43","5.2",5.2,"","5.13","6.09","4.63","2.09","2.39",3.12,"","0.12","0.13",0.15,0.12,"0.05",0.05,"","24.61","22.99","19.6","24.83","23.02",25.14,"","21.24","20.34","17.1","21.6","20.33",22.2,"","4.58","5.32","4.59","5.82","5.57",6.09,0.02,6,"","4.06","4.35","5.1","4.03","4.34",4.34,99.98,"","7","9","5","8","6","6","","","13.29","13.69",13.82,13.52,"11.77",9.56,"","20.36","18.96","24.24","48.61","40.92","26.35","","","","","","",0,"","","","","","",0,"","0.88","0.87",0.85,0.88,"0.95",0.95,"","0.05","0.05","0.03","0.07","0.05",0.05,"","12.43","13.29","11.13","14.84","27.1","29.71","","31.56","31.55","26.12","32.72","30.01","","31.56","31.55","26.12","32.72","30.01","32.85","32.85","","2.34","2.89","2.25","3.21","2.83","3.16","","29.08","34.1","26.74","32.86","34.74","38.01","","23.64","26.91","21.29","27.49","28.54","31.23","5",9,"","16.22","13.34","14.54","12.68","13.14",13.14,"","0.12","0.15","0.15","0.17","0.11",0.07,"","-6.85","29.95","7.56","5.42","13.8",16.31,"","7.05","23.29","8.78","6.49","15.32",19.05,"","8.65","7.16",4.84,"4.95","11.87",12.02
"ADSK","Autodesk","Information Technology","Application Software","","0.46","0.58","0.6",0.56,"0.55",0.15,"","2.4","0.63","0.81","0.72","1.77",3.69,"","0.03","0.03","0.02","0.03","0.02",0.01,"","0.62","0.41",0.57,0.55,"0.44",0.42,"","0.83","0.46","0.73","0.84","0.58","0.5","","0.15","0.11","0.1","0.09","0.1",0.1,"","-3.1","-2.73","-2.99","-2.47","-2.94",-3.03,"","2.77","3.66","4.19","6.19","4.48",3.53,"","0.88","0.7",0.83,0.81,"0.69",0.64,"","","","","","",0,"","-6.2","-9.9","-18.29","2.18","3.6",4.12,"","0.39","0.44","0.41","0.29","0.36",0.37,"","-3.83","19.96","5.35","2.92","3.93",2.63,"","0.77","0.81","0.78","0.56","0.7",0.62,"","-0.07","-0.2","-0.14","0.3","0.4",0.49,"","2.24","2.84","2.33","2.2","2.52",2.62,"","-0.06","-0.05",-0.02,0.13,"0.1",0.09,"","-48.78","","125.83","102.46","88.61",50.93,"","-61.54","319.6","92.19","84.88","71.74",42.89,"","12.4","13.01","13.4","16.16","12.72",8.72,0.05,5,"","-2.05","0.03","0.79","0.98","1.13",1.68,99.89,"","5","5","8","7","4","5","","","39.35","51.66",54.08,51.32,"49.95",54.25,"","","0.32","6.36","12.31","9.5","12.1","","","","","","",0,"","","","","","",0,"","1.06","1.05",1.02,0.87,"0.9",0.91,"","0.39","0.44","0.33","0.28","0.31",0.32,"","","","","63.1","64.2","53.84","","","","205.05","51","111.51","","","","205.05","51","111.51","72.95","72.95","","","","","","","","","","103.88","32.16","45.94","37.86","24.88","","","85.43","30.95","42.87","36.21","24.14","1",6,"","21.19","","","","",0,"","","0.22","0.12","0.21","0.3",0.27,"","-18.44","125.32","347.7","51.82","7.85",54.65,"","1.15","85.66","359.46","466.67","-58.82",63.46,"","2.73","25.31",25.35,"15.97","15.78",18.83
"AEP","American Electric Power","Utilities","Electric Utilities","0.24","0.24","0.22","0.19",0.2,"",0.05,"-0.03","-0.2","-0.14","-0.37","-1.34","",-2.3,"0.38","0.39","0.4","0.42","0.34","",0.32,"0.05","0.05","0.04",0.06,0.05,"",0.06,"0.02","0.02","0.02","0.02","0.02","","0.02","0.42","0.43","0.41","0.36","0.39","",0.41,"","","","","","",0,"1.01","0.93","0.92","0.84","0.87","",0.94,"0.51","0.48","0.4",0.44,0.63,"",0.75,"54.28","48.63","60.36","84.1","63.69","",49.92,"1.25","1.33","1.56","1.68","1.63","",1.59,"0.35","0.37","0.4","0.43","0.42","",0.42,"3.91","4.71","5.41","5.54","5.43","",5.11,"1.48","1.56","1.96","2.31","2.18","",2.06,"3.36","3.41","3.52","3.71","3.98","",4.28,"4","4.1","3.84","3.59","3.37","",3.44,"0.28","0.28","0.26",0.25,0.26,"",0.27,"15.81","20.88","26.51","22.77","21.87","",21.67,"10.05","11.53","13.65","12.13","12.01","",12,"3.8","3.81","4.95","5.06","4.83","",4.89,0.02,4,"6.33","4.79","3.77","4.39","4.57","",4.65,99.99,"5","4","4","6","7","","7","","13.99","13.72","12.77",12.18,12.12,"",12.17,"3.78","2.8","2.56","2.56","2.85","","2.92","6.72","7.51","6.05","4.34","5.73","",1.83,"0.06","0.06","0.07","0.08","0.07","",0.22,"0.72","0.72","0.74",0.74,0.74,"",0.73,"0.3","0.32","0.34","0.37","0.36","",0.37,"1.98","1.94","2.38","2.01","2","","2.09","18.96","19.16","24.36","18.84","17.94","","18.96","19.16","24.36","18.84","17.94","","19.24","19.24","","","15.42","2.87","1.76","","1.83","","","","","","","","8.49","7.07","10.96","10.8","11.63","","8.57","1",7,"-2.85","-2.62","-0.48","2.96","6.23","",3.98,"0.64","0.68","0.73","0.72","0.73","",0.69,"69.19","-8.42","5.07","9.69","7.68","",12.7,"212.9","0.52","-0.51","13.92","12.22","",-11.3,"-6.01","4.75","-4.22",-4.5,"11.54","",17.91
"ALGN","Align Technology","Health Care","Health Care Supplies","0.93","1.03","1.06","0.67",0.73,"",0.17,"0.5","1.7","1.75","-0.05","0.68","",2.66,"0.13","0.11","0.06","0.06","0.1","",0.08,"1.44","1.06","0.89",0.72,0.61,"",0.5,"","","14.67","11.15","9.34","","7.32","0.24","0.26","0.28","0.29","0.26","",0.29,"-2.83","-2.56","-3.09","0.88","-2.52","",-2.35,"19.1","14.86","13.64","17.39","15.34","",6.63,"2.32","1.88","1.68",1.4,1.3,"",1.32,"30.11","30.73","46.17","64.71","66.29","",94.77,"","","0.04","0.03","0.04","",0.03,"","","0.02","0.02","0.02","",0.02,"","","0.1","0.18","0.12","",0.14,"","","0.03","0.04","0.03","",0.03,"1.34","1.72","2.36","4.54","5.75","",6.35,"","","","","","",0,"0.65","0.61","0.54",0.67,0.61,"",0.62,"48.25","34.23","40.97","106.58","51.91","",19.11,"43.6","30.64","35.51","85.85","46.7","",16.84,"11.58","8.12","8.76","16.69","12.82","",4.16,0.22,8,"2.07","2.92","2.44","0.94","1.93","",4.91,99.36,"7","7","5","4","5","","5","","70.24","75.48","76.6",48.11,54.5,"",46.8,"","","","","","","","12.12","11.88","7.91","5.64","5.51","",0.96,"0.02","0.02","0.04","0.05","0.05","",0.3,"0.35","0.39","0.46",0.33,0.39,"",0.38,"","","0.02","0.01","0.02","",0.02,"15.41","13.34","16.26","13.03","14.28","","4.82","78.51","42.57","50.46","23.85","67.82","","78.51","42.57","50.46","23.85","67.82","","28.44","28.44","4.1","1.79","1.73","1.14","2.85","","1.13","74.86","51.42","37.4","83.47","67.87","","45.5","41.46","30.72","29.91","63.94","44.65","","22.48","4",10,"20.21","21.34","21.35","20.85","20.91","",22.47,"0.31","0.29","0.26","0.94","0.53","",0.47,"42.79","33.98","15.64","-18.11","124.49","",-24.85,"21.46","73.85","12.4","305.24","-56.76","",-42.63,"35.86","34.25","24.31",3.84,"59.01","",-2.75
"AMAT","Applied Materials","Information Technology","Semiconductor Equipment","0.87","0.9","0.8","0.83",0.96,"",0.25,"1.8","16.23","4.54","0.88","2.93","",8.42,"0.02","0.04","0.03","0.03","0.03","",0.03,"1.77","1.03","0.81",1.29,0.86,"",0.52,"1.37","0.76","0.68","1.01","0.95","","0.61","0.55","0.55","0.56","0.55","0.53","",0.54,"-2.56","-2.63","-2.36","-2.4","-1.85","",-2.05,"6.86","5.69","6.29","6.36","9.38","",7.39,"3.14","2.7","2.3",3,2.54,"",2.26,"112.4","132.11","159.7","141.59","123.37","",136.52,"0.57","0.78","0.65","0.54","0.47","",0.49,"0.27","0.3","0.28","0.26","0.22","",0.22,"1.2","1.04","1.37","1.19","0.78","",0.72,"0.36","0.32","0.36","0.33","0.25","",0.23,"1.01","1.27","1.61","1.94","2.53","",3.22,"4.59","4.41","4.46","4.36","4.12","",4.31,"0.48","0.39","0.43",0.47,0.47,"",0.46,"14.41","7.14","14.66","12.28","17.44","",9.48,"13.08","6.5","13.28","11.31","16.51","",9,"3.94","1.98","3.52","3.15","5.3","",2.97,0.09,7,"6.94","14.01","6.82","8.14","5.73","",8.44,99.71,"8","6","5","8","7","","7","","38.91","40.58","34.84",37.18,45.31,"",46.59,"19.88","19.19","14.14","18.19","30.51","","30.54","3.25","2.76","2.29","2.58","2.96","",0.67,"0.17","0.2","0.25","0.21","0.18","",0.81,"0.52","0.61","0.57",0.53,0.53,"",0.54,"0.27","0.3","0.25","0.25","0.22","",0.22,"6.4","4.64","6.05","5.12","9.95","","6.01","17.36","11.11","18.97","15.11","21.35","","17.36","11.11","18.97","15.11","21.35","","11.27","11.27","0.27","0.26","0.6","0.62","1.3","","0.52","17.76","10.66","18.28","16.17","26.3","","15.26","16.15","8.91","15.79","14.37","23.07","","13.19","3",10,"22.69","26.01","24.35","24.93","19.05","",20.84,"0.51","0.42","0.56","0.55","0.56","",0.56,"78","21.58","-17.43","26.55","55.43","",0.52,"111.04","-8.92","-3.38","37.06","63.27","",-1.07,"39.78","20.08","-5.06",20.57,"34.66","",11.17
"AMD","AMD","Information Technology","Semiconductors","1.53","1.6","1.27","1.3",1.54,"",0.1,"","0.03","0.01","0.07","1.15","",4.22,"0.02","0.03","0.03","0.03","0.02","",0.02,"0.78","0.58","0.64",0.95,0.85,"",1.08,"0.85","0.93","2.19","4.31","5.46","","1.87","0.66","0.62","0.57","0.55","0.52","",0.54,"-2.26","-0.89","-2.07","-1.1","-2.29","",-0.32,"0.92","3.26","10.23","22.68","23.74","",5.97,"1.74","1.78","1.95",2.54,2.02,"",2.44,"76.09","69.73","86.31","80.23","71.97","",65.79,"2.34","0.99","0.24","0.09","0.09","",0.06,"0.39","0.27","0.11","0.06","0.05","",0.05,"5.32","2.01","0.95","0.32","0.16","",0.46,"0.27","0.19","0.1","0.05","0.04","",0.12,"-0.79","-0.16","-0.19","-0.06","0.11","",0.3,"8.9","9.15","9.72","7.73","5.7","",3.73,"0.17","0.28","0.47",0.65,0.6,"",0.82,"86.02","41.34","113.39","82.68","46.11","",29.28,"38.74","30.03","72.98","65.22","40.98","",18.67,"1.93","2.88","7.85","11.2","10.39","",4.96,0.17,9,"1.16","2.42","0.88","1.21","2.17","",3.03,99.57,"6","7","6","7","6","","4","","52","60.36","54.2",58,74.17,"",18.02,"1.01","3.73","6.71","29.13","107.29","","21.04","4.8","5.23","4.23","4.55","5.07","",1.39,"0.14","0.12","0.14","0.12","0.1","",0.39,"0.83","0.72","0.53",0.35,0.4,"",0.18,"0.37","0.25","0.11","0.06","0.03","",0.04,"16.69","14.65","18.98","19.03","23.17","","1.99","","57.69","152.87","44.52","55.99","","","57.69","152.87","44.52","55.99","","28.55","28.55","","","","","","","","","","186.42","142.41","54.92","","27.93","790.77","576.88","104.23","103.39","50.23","","25.13","1",6,"","","","","","",0,"0.24","0.38","0.44","0.68","0.51","",0.78,"243.23","112.36","10.62","115.02","144.06","",38.22,"95","","-6.25","586.67","24.76","",-53.45,"6.69","10.29","-1.25",34.59,"65.31","",28.42
